FIPStxt,State,Area_Name,PCTPOVALL_2015,MEDHHINC_2015
0,US,United States,14.7,55775
1000,AL,Alabama,18.5,44833
1001,AL,Autauga County,12.7,56580
1003,AL,Baldwin County,12.9,52387
1005,AL,Barbour County,32,31433
1007,AL,Bibb County,22.2,40767
1009,AL,Blount County,14.7,50487
1011,AL,Bullock County,39.6,28251
1013,AL,Butler County,25.8,33868
1015,AL,Calhoun County,20,42091
1017,AL,Chambers County,22.4,35560
1019,AL,Cherokee County,19.4,39144
1021,AL,Chilton County,20.2,42767
1023,AL,Choctaw County,24.4,35089
1025,AL,Clarke County,22.2,37317
1027,AL,Clay County,18.4,38908
1029,AL,Cleburne County,18.9,42136
1031,AL,Coffee County,16.2,46858
1033,AL,Colbert County,18.1,41171
1035,AL,Conecuh County,28.3,29981
1037,AL,Coosa County,20.3,36078
1039,AL,Covington County,22.3,36355
1041,AL,Crenshaw County,19.9,36759
1043,AL,Cullman County,19.4,39290
1045,AL,Dale County,18.5,45294
1047,AL,Dallas County,34.6,29682
1049,AL,DeKalb County,20.6,37305
1051,AL,Elmore County,14,53548
1053,AL,Escambia County,24.4,36840
1055,AL,Etowah County,19,42145
1057,AL,Fayette County,20.4,37085
1059,AL,Franklin County,21.1,38535
1061,AL,Geneva County,22.4,36289
1063,AL,Greene County,37.7,25398
1065,AL,Hale County,28.5,35470
1067,AL,Henry County,17,42501
1069,AL,Houston County,18.3,43568
1071,AL,Jackson County,18.4,40201
1073,AL,Jefferson County,18,48415
1075,AL,Lamar County,24.7,36520
1077,AL,Lauderdale County,17.3,43008
1079,AL,Lawrence County,18.7,41771
1081,AL,Lee County,21,46442
1083,AL,Limestone County,14.3,55060
1085,AL,Lowndes County,35.2,31117
1087,AL,Macon County,32.2,29522
1089,AL,Madison County,13.3,59117
1091,AL,Marengo County,23.3,35389
1093,AL,Marion County,19.8,34977
1095,AL,Marshall County,20.1,40599
1097,AL,Mobile County,18.4,42530
1099,AL,Monroe County,28.6,35163
1101,AL,Montgomery County,22.8,42666
1103,AL,Morgan County,16.4,47234
1105,AL,Perry County,40,26218
1107,AL,Pickens County,24.3,33160
1109,AL,Pike County,25.9,34442
1111,AL,Randolph County,18.7,37333
1113,AL,Russell County,23,36124
1115,AL,St. Clair County,12.4,53558
1117,AL,Shelby County,8.5,70879
1119,AL,Sumter County,33.2,25931
1121,AL,Talladega County,22.4,37911
1123,AL,Tallapoosa County,21.7,39051
1125,AL,Tuscaloosa County,20,47868
1127,AL,Walker County,20.6,37305
1129,AL,Washington County,22.4,42658
1131,AL,Wilcox County,33.2,23014
1133,AL,Winston County,18.9,36497
2000,AK,Alaska,10.4,73391
2013,AK,Aleutians East Borough,17.4,57015
2016,AK,Aleutians West Census Area,8.5,80695
2020,AK,Anchorage Borough,8.7,77791
2050,AK,Bethel Census Area,24.2,44849
2060,AK,Bristol Bay Borough,9,66373
2068,AK,Denali Borough,6.6,73000
2070,AK,Dillingham Census Area,20,50753
2090,AK,Fairbanks North Star Borough,8.1,70881
2100,AK,Haines Borough,10.9,57876
2105,AK,Hoonah-Angoon Census Area,16.2,53726
2110,AK,Juneau Borough,8,82892
2122,AK,Kenai Peninsula Borough,11.4,62025
2130,AK,Ketchikan Gateway Borough,10.3,65314
2150,AK,Kodiak Island Borough,7.5,67515
2158,AK,Kusilvak Census Area,31.8,33511
2164,AK,Lake and Peninsula Borough,19.3,42120
2170,AK,Matanuska-Susitna Borough,9.8,76601
2180,AK,Nome Census Area,21.4,52952
2185,AK,North Slope Borough,12.6,70834
2188,AK,Northwest Arctic Borough,26.3,53774
2195,AK,Petersburg Borough,7.9,63098
2198,AK,Prince of Wales-Hyder Census Area,15.6,45305
2220,AK,Sitka Borough,9.2,68472
2230,AK,Skagway Municipality,3.7,65878
2240,AK,Southeast Fairbanks Census Area,13.5,60203
2261,AK,Valdez-Cordova Census Area,9.5,70101
2275,AK,Wrangell City and Borough,12,54500
2282,AK,Yakutat Borough,15.4,53795
2290,AK,Yukon-Koyukuk Census Area,23.4,37755
4000,AZ,Arizona,17.4,51473
4001,AZ,Apache County,38,31072
4003,AZ,Cochise County,16.9,43451
4005,AZ,Coconino County,19.5,51955
4007,AZ,Gila County,21.3,41346
4009,AZ,Graham County,22.9,44169
4011,AZ,Greenlee County,10.1,58854
4012,AZ,La Paz County,22.2,34835
4013,AZ,Maricopa County,16.3,56017
4015,AZ,Mohave County,17.4,40360
4017,AZ,Navajo County,28.1,37658
4019,AZ,Pima County,18.7,47107
4021,AZ,Pinal County,15.8,50888
4023,AZ,Santa Cruz County,24.4,34893
4025,AZ,Yavapai County,15.1,47220
4027,AZ,Yuma County,21.1,40426
5000,AR,Arkansas,18.7,42046
5001,AR,Arkansas County,20.7,41179
5003,AR,Ashley County,19.6,39871
5005,AR,Baxter County,16.4,36902
5007,AR,Benton County,10.8,60294
5009,AR,Boone County,16.5,40909
5011,AR,Bradley County,28,37331
5013,AR,Calhoun County,16.7,40526
5015,AR,Carroll County,16.6,37587
5017,AR,Chicot County,31.4,29968
5019,AR,Clark County,22.5,37856
5021,AR,Clay County,20.8,35324
5023,AR,Cleburne County,15.6,43913
5025,AR,Cleveland County,18.1,44123
5027,AR,Columbia County,23.8,38057
5029,AR,Conway County,17.8,43702
5031,AR,Craighead County,17.3,42460
5033,AR,Crawford County,14.4,46545
5035,AR,Crittenden County,25.9,37371
5037,AR,Cross County,21.5,39132
5039,AR,Dallas County,21.3,33352
5041,AR,Desha County,30.9,30987
5043,AR,Drew County,21.2,39339
5045,AR,Faulkner County,14.8,51157
5047,AR,Franklin County,18.2,41933
5049,AR,Fulton County,19.4,34717
5051,AR,Garland County,19.3,37723
5053,AR,Grant County,13.2,47652
5055,AR,Greene County,17.1,43996
5057,AR,Hempstead County,24.1,34560
5059,AR,Hot Spring County,20.8,39851
5061,AR,Howard County,18.7,33199
5063,AR,Independence County,18,38241
5065,AR,Izard County,19.8,35355
5067,AR,Jackson County,27.5,32571
5069,AR,Jefferson County,26.5,36990
5071,AR,Johnson County,21.8,35877
5073,AR,Lafayette County,22.7,33864
5075,AR,Lawrence County,23.7,34808
5077,AR,Lee County,35.9,28481
5079,AR,Lincoln County,25.1,40216
5081,AR,Little River County,19.9,39265
5083,AR,Logan County,20.5,37924
5085,AR,Lonoke County,11.9,56240
5087,AR,Madison County,18.8,41007
5089,AR,Marion County,18.8,34946
5091,AR,Miller County,22.3,39005
5093,AR,Mississippi County,26.3,34888
5095,AR,Monroe County,30.9,30801
5097,AR,Montgomery County,21.8,37813
5099,AR,Nevada County,24,35914
5101,AR,Newton County,24.2,33679
5103,AR,Ouachita County,22.8,37987
5105,AR,Perry County,16.8,43020
5107,AR,Phillips County,37.3,28224
5109,AR,Pike County,18.5,36266
5111,AR,Poinsett County,23.9,32756
5113,AR,Polk County,24.4,34723
5115,AR,Pope County,20.8,41074
5117,AR,Prairie County,19.6,39518
5119,AR,Pulaski County,19.4,46473
5121,AR,Randolph County,17.6,34730
5123,AR,St. Francis County,30.7,31625
5125,AR,Saline County,10.7,56926
5127,AR,Scott County,20.8,36028
5129,AR,Searcy County,22.2,30427
5131,AR,Sebastian County,22.1,41452
5133,AR,Sevier County,20.8,41848
5135,AR,Sharp County,24.6,32095
5137,AR,Stone County,21.5,32023
5139,AR,Union County,19.7,42195
5141,AR,Van Buren County,19,38306
5143,AR,Washington County,16.9,46418
5145,AR,White County,19.7,42508
5147,AR,Woodruff County,25.8,31013
5149,AR,Yell County,17.8,37415
6000,CA,California,15.4,64483
6001,CA,Alameda County,11.5,81462
6003,CA,Alpine County,19,50882
6005,CA,Amador County,13.1,55879
6007,CA,Butte County,21.4,45369
6009,CA,Calaveras County,13,52471
6011,CA,Colusa County,13.2,51118
6013,CA,Contra Costa County,10.2,83036
6015,CA,Del Norte County,23.3,38963
6017,CA,El Dorado County,9.1,75575
6019,CA,Fresno County,25.2,46608
6021,CA,Glenn County,18.5,43584
6023,CA,Humboldt County,20.9,40739
6025,CA,Imperial County,24.3,39925
6027,CA,Inyo County,12.4,51697
6029,CA,Kern County,21.9,51150
6031,CA,Kings County,22.4,46440
6033,CA,Lake County,20.5,37993
6035,CA,Lassen County,17.1,54670
6037,CA,Los Angeles County,16.7,59045
6039,CA,Madera County,22.6,46593
6041,CA,Marin County,7.5,99868
6043,CA,Mariposa County,15.2,44595
6045,CA,Mendocino County,20.3,43237
6047,CA,Merced County,25.9,42879
6049,CA,Modoc County,20.3,38402
6051,CA,Mono County,11.2,53992
6053,CA,Monterey County,15.3,60047
6055,CA,Napa County,10.1,72683
6057,CA,Nevada County,12.4,57627
6059,CA,Orange County,12.7,78002
6061,CA,Placer County,8.6,76203
6063,CA,Plumas County,13.8,46813
6065,CA,Riverside County,16.2,57895
6067,CA,Sacramento County,16.9,58735
6069,CA,San Benito County,9.3,76521
6071,CA,San Bernardino County,18.9,53526
6073,CA,San Diego County,13.9,67053
6075,CA,San Francisco County,12.4,90527
6077,CA,San Joaquin County,17.5,53341
6079,CA,San Luis Obispo County,14.4,61761
6081,CA,San Mateo County,8.4,101133
6083,CA,Santa Barbara County,15.6,63049
6085,CA,Santa Clara County,8.3,102191
6087,CA,Santa Cruz County,15.4,64841
6089,CA,Shasta County,19,45943
6091,CA,Sierra County,13.8,47535
6093,CA,Siskiyou County,22.6,37447
6095,CA,Solano County,12,67202
6097,CA,Sonoma County,11,66463
6099,CA,Stanislaus County,19.5,51949
6101,CA,Sutter County,17.5,50810
6103,CA,Tehama County,22.5,40292
6105,CA,Trinity County,19.7,37669
6107,CA,Tulare County,27.2,42637
6109,CA,Tuolumne County,14.5,53136
6111,CA,Ventura County,9.9,79285
6113,CA,Yolo County,17.5,58766
6115,CA,Yuba County,21.6,46500
8000,CO,Colorado,11.5,63945
8001,CO,Adams County,12.8,62991
8003,CO,Alamosa County,24,40067
8005,CO,Arapahoe County,9.2,67062
8007,CO,Archuleta County,13.1,50361
8009,CO,Baca County,20.8,35405
8011,CO,Bent County,36.7,36630
8013,CO,Boulder County,12.3,72392
8014,CO,Broomfield County,4.9,86548
8015,CO,Chaffee County,11.7,50947
8017,CO,Cheyenne County,11.7,50620
8019,CO,Clear Creek County,9.6,67262
8021,CO,Conejos County,20.2,37102
8023,CO,Costilla County,28.2,27944
8025,CO,Crowley County,44.3,35405
8027,CO,Custer County,15.1,43995
8029,CO,Delta County,15.8,42586
8031,CO,Denver County,15.7,57886
8033,CO,Dolores County,14.9,44829
8035,CO,Douglas County,3.4,109926
8037,CO,Eagle County,7.6,75191
8039,CO,Elbert County,5.9,90270
8041,CO,El Paso County,11,60050
8043,CO,Fremont County,17.2,41967
8045,CO,Garfield County,10.3,64487
8047,CO,Gilpin County,8,67389
8049,CO,Grand County,8.3,59885
8051,CO,Gunnison County,12.5,47619
8053,CO,Hinsdale County,10.9,58613
8055,CO,Huerfano County,23.2,33098
8057,CO,Jackson County,13.9,46905
8059,CO,Jefferson County,7.9,71209
8061,CO,Kiowa County,13.9,42108
8063,CO,Kit Carson County,12.2,44090
8065,CO,Lake County,15.7,45913
8067,CO,La Plata County,9.4,60732
8069,CO,Larimer County,12.2,64935
8071,CO,Las Animas County,19.3,38858
8073,CO,Lincoln County,19.4,43188
8075,CO,Logan County,15.5,46306
8077,CO,Mesa County,14.1,51449
8079,CO,Mineral County,9.4,50481
8081,CO,Moffat County,11.7,59173
8083,CO,Montezuma County,19.3,42975
8085,CO,Montrose County,17.7,46860
8087,CO,Morgan County,12.1,49087
8089,CO,Otero County,20.6,34970
8091,CO,Ouray County,9.4,60402
8093,CO,Park County,9.2,63319
8095,CO,Phillips County,11.1,48562
8097,CO,Pitkin County,7,76663
8099,CO,Prowers County,19.6,41348
8101,CO,Pueblo County,19.8,40540
8103,CO,Rio Blanco County,9.7,61426
8105,CO,Rio Grande County,17.2,40259
8107,CO,Routt County,8.9,70989
8109,CO,Saguache County,29.6,34209
8111,CO,San Juan County,15.6,43489
8113,CO,San Miguel County,11,62793
8115,CO,Sedgwick County,13.6,40325
8117,CO,Summit County,8.7,69633
8119,CO,Teller County,8.8,66191
8121,CO,Washington County,11.4,47592
8123,CO,Weld County,11.3,69434
8125,CO,Yuma County,14.1,48934
9000,CT,Connecticut,10.6,71333
9001,CT,Fairfield County,9,86297
9003,CT,Hartford County,11.1,69260
9005,CT,Litchfield County,7.4,70847
9007,CT,Middlesex County,6.7,82878
9009,CT,New Haven County,13.6,61758
9011,CT,New London County,11.1,65602
9013,CT,Tolland County,7.1,81616
9015,CT,Windham County,10.9,61303
10000,DE,Delaware,12.6,61327
10001,DE,Kent County,14.2,55678
10003,DE,New Castle County,12.1,66179
10005,DE,Sussex County,12.3,54309
11000,DC,District of Columbia,17.7,73115
11001,DC,District of Columbia,17.7,73115
12000,FL,Florida,15.8,49416
12001,FL,Alachua County,21.1,47023
12003,FL,Baker County,16.8,50883
12005,FL,Bay County,16.5,47745
12007,FL,Bradford County,21.3,40879
12009,FL,Brevard County,13.4,50352
12011,FL,Broward County,14,53624
12013,FL,Calhoun County,22.2,36062
12015,FL,Charlotte County,12.4,45495
12017,FL,Citrus County,17.5,39982
12019,FL,Clay County,11.6,59244
12021,FL,Collier County,13.6,62385
12023,FL,Columbia County,19.7,43303
12027,FL,DeSoto County,30.5,34380
