FIPStxt,State,Area_Name,POVALL_2015,CI90LBAll_2015,POV017_2015,PCTPOV017_2015
0,US,United States,46153077,45878016,15000273,20.7
1000,AL,Alabama,875853,859781,288450,26.5
1001,AL,Autauga,6966,5673,2544,18.8
1003,AL,Baldwin,25941,21665,8629,19.6
1005,AL,Barbour,7380,6240,2510,45.2
1007,AL,Bibb,4516,3584,1339,29.3
1009,AL,Blount,8399,6798,2935,22.2
1011,AL,Bullock,3544,2868,1116,51.2
1013,AL,Butler,5100,4174,1685,36
1015,AL,Calhoun,22579,19753,7687,30.7
1017,AL,Chambers,7532,6226,2452,34.4
1019,AL,Cherokee,4961,3960,1558,30.2
1021,AL,Chilton,8787,7384,2950,28.1
1023,AL,Choctaw,3177,2599,891,33.5
1025,AL,Clarke,5403,4309,1671,30.9
1027,AL,Clay,2436,1896,781,27.3
1029,AL,Cleburne,2797,2302,941,27.7
1031,AL,Coffee,8196,6904,2842,23.7
1033,AL,Colbert,9732,8357,3102,26.9
1035,AL,Conecuh,3560,2853,1105,41
1037,AL,Coosa,2118,1654,611,32.2
1039,AL,Covington,8319,7025,2801,34.1
1041,AL,Crenshaw,2742,2169,924,29.6
1043,AL,Cullman,15694,13633,4456,24.7
1045,AL,Dale,8980,7630,3313,29
1047,AL,Dallas,14021,12206,5093,50.1
1049,AL,DeKalb,14481,12265,4989,28.9
1051,AL,Elmore,10609,8783,3652,19.9
1053,AL,Escambia,8394,6820,2642,32
1055,AL,Etowah,19146,16261,6795,30.7
1057,AL,Fayette,3364,2653,1050,29.4
1059,AL,Franklin,6609,5275,2475,32.4
1061,AL,Geneva,5932,4781,2040,34.8
1063,AL,Greene,3175,2565,1065,54.7
1065,AL,Hale,4224,3468,1357,38.6
1067,AL,Henry,2894,2233,986,27.5
1069,AL,Houston,18829,17081,7110,29.5
1071,AL,Jackson,9516,8084,2977,26.9
1073,AL,Jefferson,115897,107685,39431,26.2
1075,AL,Lamar,3378,2840,992,33.8
1077,AL,Lauderdale,15642,13459,4428,23.9
1079,AL,Lawrence,6130,5032,1864,26.4
1081,AL,Lee,31900,28805,6915,20.7
1083,AL,Limestone,12644,10679,3944,18.8
1085,AL,Lowndes,3640,3139,1110,46.7
1087,AL,Macon,5588,4446,1559,46.1
1089,AL,Madison,45877,40731,14867,19.1
1091,AL,Marengo,4596,3648,1608,34.8
1093,AL,Marion,5789,4668,1900,30.4
1095,AL,Marshall,18767,16085,7442,32.7
1097,AL,Mobile,75204,67219,26298,26.9
1099,AL,Monroe,6116,5224,1755,35.7
1101,AL,Montgomery,49457,44075,18031,33.8
1103,AL,Morgan,19250,16803,6505,24
1105,AL,Perry,3536,2833,1121,54.4
1107,AL,Pickens,4531,3600,1444,35.3
1109,AL,Pike,8066,6705,2297,36
1111,AL,Randolph,4154,3317,1549,31.7
1113,AL,Russell,13575,11346,5498,36.3
1115,AL,St. Clair,10494,8592,3431,17.5
1117,AL,Shelby,17558,15159,5088,10.2
1119,AL,Sumter,4073,3174,1118,44.2
1121,AL,Talladega,17439,15315,5362,31.1
1123,AL,Tallapoosa,8717,7357,2928,34.5
1125,AL,Tuscaloosa,38704,34920,10533,25.1
1127,AL,Walker,13271,11376,4392,31.1
1129,AL,Washington,3728,3110,1182,31.5
1131,AL,Wilcox,3629,2930,1331,49.2
1133,AL,Winston,4451,3489,1449,29.3
2000,AK,Alaska,74941,71399,26564,14.5
2013,AK,Aleutians East Borough,582,445,45,15.5
2016,AK,Aleutians West Census Area,469,354,54,8.5
2020,AK,Anchorage Borough,25305,22232,8982,12.4
2050,AK,Bethel Census Area,4271,3510,2009,31.5
2060,AK,Bristol Bay Borough,79,60,14,8.6
2068,AK,Denali Borough,124,96,36,10.2
2070,AK,Dillingham Census Area,993,783,468,30.4
2090,AK,Fairbanks North Star Borough,7671,6218,2388,10.1
2100,AK,Haines Borough,275,208,98,20.2
2105,AK,Hoonah-Angoon Census Area,346,258,123,29.2
2110,AK,Juneau Borough,2542,2019,719,10.1
2122,AK,Kenai Peninsula Borough,6488,5510,1847,14
2130,AK,Ketchikan Gateway Borough,1384,1108,430,14.4
2150,AK,Kodiak Island Borough,1021,785,332,9.3
2158,AK,Kusilvak Census Area,2576,2128,1446,43.4
2164,AK,Lake and Peninsula Borough,301,229,140,31.4
2170,AK,Matanuska-Susitna Borough,9676,8362,3184,11.8
2180,AK,Nome Census Area,2070,1709,939,27.6
2185,AK,North Slope Borough,1212,944,440,17.6
2188,AK,Northwest Arctic Borough,2022,1734,959,34.9
2195,AK,Petersburg Borough,251,197,73,10.3
2198,AK,Prince of Wales-Hyder Census Area,983,742,361,23.8
2220,AK,Sitka Borough,800,638,203,10.4
2230,AK,Skagway Municipality,39,30,9,6.3
2240,AK,Southeast Fairbanks Census Area,914,711,371,21.4
2261,AK,Valdez-Cordova Census Area,878,670,270,12.2
2275,AK,Wrangell City and Borough,284,224,76,16
2282,AK,Yakutat Borough,94,71,31,26.1
2290,AK,Yukon-Koyukuk Census Area,1291,1039,518,34.4
4000,AZ,Arizona,1159046,1136666,394337,24.7
4001,AZ,Apache,26788,24495,9136,44.7
4003,AZ,Cochise,20439,17598,7081,25.7
4005,AZ,Coconino,25133,22574,6066,20.7
4007,AZ,Gila,11089,9307,3876,36.6
4009,AZ,Graham,7869,6550,2773,26.9
4011,AZ,Greenlee,952,737,298,11.3
4012,AZ,La Paz,4398,3382,1246,36.9
